// File: aSPab.txt
// Data file for SeaPort projects
// Date: Sat Feb 09 13:08:02 EST 2019
// parameters: 3 1 8 8 1 1
//   ports, docks, pships, cships, jobs, persons

// port   name index parent(null)
//    port   <string> <int> <int>
port Itaguai 10000 0
port Kochi 10002 0
port Baoan 10001 0

// dock   name index parent(port)
//    dock   <string> <int> <int>
  dock Pier_10 20010 10002 30016
  dock Pier_8 20008 10001 30011
  dock Pier_5 20005 10001 30008
  dock Pier_2 20002 10000 30002
  dock Pier_0 20000 10000 30000
  dock Pier_7 20007 10001 30010
  dock Pier_14 20014 10002 30020
  dock Pier_11 20011 10002 30017
  dock Pier_12 20012 10002 30018
  dock Pier_4 20004 10000 30004
  dock Pier_6 20006 10001 30009
  dock Pier_9 20009 10001 30012
  dock Pier_3 20003 10000 30003
  dock Pier_1 20001 10000 30001
  dock Pier_13 20013 10002 30019

// pship  name index parent(dock/port) weight length width draft numPassengers numRooms numOccupied
//    pship  <string> <int> <int> <double> <double> <double> <double> <int> <int> <int>
    pship             Whomping 30015 10001 124.11 340.99 103.08 32.77 490 361 245
    pship              Flawier 30010 20007 224.72 121.51 111.64 26.17 891 289 289
    pship            Microbars 30007 10000 70.18 145.60 95.41 36.15 2374 874 874
    pship              Embroil 30000 20000 249.88 215.36 107.29 21.14 653 684 326
    pship                 Ohms 30004 20004 220.84 121.46 74.95 17.46 69 373 34
    pship             Readying 30005 10000 199.02 353.60 91.69 18.54 581 147 147
    pship               Salted 30023 10002 114.27 283.39 100.58 25.62 185 1044 92
    pship             Remended 30016 20010 70.45 461.36 41.43 24.76 1299 772 649
    pship            Valuators 30011 20008 135.07 185.00 43.61 20.71 105 523 52
    pship           Unsticking 30021 10002 129.18 104.26 84.90 20.54 2385 660 660
    pship            Microbial 30002 20002 93.33 307.97 42.09 30.71 1212 415 415
    pship            Attestant 30017 20011 127.30 493.78 113.18 38.37 375 301 187
    pship         Overreaching 30022 10002 193.30 161.35 44.53 32.77 2164 1093 1082
    pship               Rebops 30014 10001 97.09 308.03 30.86 24.11 263 149 131
    pship        Prosecutrixes 30019 20013 180.73 282.04 97.55 39.11 363 166 166
    pship               Pranks 30008 20005 192.03 331.67 89.69 41.21 219 421 109
